stress,strain,T,strainrate,porosity
1782.0679472276615,0.1151,20,500,0
1784.8337737391612,0.1156,20,500,0
1787.6013178869084,0.1161,20,500,0
1790.3705733316378,0.1166,20,500,0
1793.1415337845783,0.1171,20,500,0
1795.914193006839,0.1176,20,500,0
1798.688544808801,0.1181,20,500,0
1801.464583049521,0.1186,20,500,0
1804.2423016361467,0.1191,20,500,0
1807.0216945233387,0.1196,20,500,0
1809.802755712702,0.1201,20,500,0
1812.5854792522296,0.1206,20,500,0
1815.3698592357491,0.1211,20,500,0
1818.1558898023873,0.1216,20,500,0
1820.9435651360318,0.1221,20,500,0
1823.7328794648115,0.1226,20,500,0
1826.5238270605805,0.1231,20,500,0
1829.3164022384076,0.1236,20,500,0
1832.1105993560795,0.1241,20,500,0
1834.9064128136088,0.1246,20,500,0
1837.7038370527466,0.1251,20,500,0
1840.50286655651,0.1256,20,500,0
1843.3034958487115,0.1261,20,500,0
1846.1057194934933,0.1266,20,500,0
1848.9095320948759,0.1271,20,500,0
1851.7149282963082,0.1276,20,500,0
1854.5219027802277,0.1281,20,500,0
1857.330450267622,0.1286,20,500,0
1860.1405655176031,0.1291,20,500,0
1862.9522433269863,0.1296,20,500,0
1865.765478529871,0.1301,20,500,0
1868.5802659972346,0.1306,20,500,0
1871.3966006365267,0.1311,20,500,0
1874.2144773912737,0.1316,20,500,0
1877.0338912406842,0.1321,20,500,0
1879.8548371992665,0.1326,20,500,0
1882.6773103164446,0.1331,20,500,0
1885.5013056761863,0.1336,20,500,0
1888.326818396632,0.1341,20,500,0
1891.1538436297315,0.1346,20,500,0
1893.982376560884,0.1351,20,500,0
1896.8124124085857,0.1356,20,500,0
1899.6439464240798,0.1361,20,500,0
1902.4769738910131,0.1366,20,500,0
1905.3114901250983,0.1371,20,500,0
1908.147490473777,0.1376,20,500,0
1910.984970315892,0.1381,20,500,0
1913.8239250613642,0.1386,20,500,0
1916.6643501508674,0.1391,20,500,0
1919.5062410555174,0.1396,20,500,0
1922.3495932765568,0.1401,20,500,0
1925.19440234505,0.1406,20,500,0
1928.0406638215786,0.1411,20,500,0
1930.8883732959434,0.1416,20,500,0
1933.7375263868694,0.1421,20,500,0
1936.5881187417149,0.1426,20,500,0
1939.4401460361837,0.1431,20,500,0
1942.2936039740443,0.1436,20,500,0
1945.1484882868476,0.1441,20,500,0
1948.0047947336539,0.1446,20,500,0
1950.8625191007604,0.1451,20,500,0
1953.7216572014322,0.1456,20,500,0
1956.5822048756386,0.1461,20,500,0
1959.4441579897903,0.1466,20,500,0
1962.307512436485,0.1471,20,500,0
1965.1722641342499,0.1476,20,500,0
1968.038409027291,0.1481,20,500,0
1970.9059430852471,0.1486,20,500,0
1973.7748623029438,0.1491,20,500,0
1976.6451627001525,0.1496,20,500,0
1979.516840321352,0.1501,20,500,0
1982.3898912354935,0.1506,20,500,0
1985.2643115357691,0.1511,20,500,0
1988.1400973393816,0.1516,20,500,0
1991.0172447873178,0.1521,20,500,0
1993.8957500441256,0.1526,20,500,0
1996.7756092976942,0.1531,20,500,0
1999.656818759036,0.1536,20,500,0
2002.5393746620693,0.1541,20,500,0
2005.4232732634096,0.1546,20,500,0
2008.3085108421565,0.1551,20,500,0
2011.1950836996884,0.1556,20,500,0
2014.0829881594586,0.1561,20,500,0
2016.9722205667895,0.1566,20,500,0
2019.8627772886784,0.1571,20,500,0
2022.7546547135958,0.1576,20,500,0
2025.6478492512938,0.1581,20,500,0
2028.5423573326111,0.1586,20,500,0
2031.438175409286,0.1591,20,500,0
2034.3352999537665,0.1596,20,500,0
2037.2337274590254,0.1601,20,500,0
2040.1334544383772,0.1606,20,500,0
2043.0344774252972,0.1611,20,500,0
2045.9367929732434,0.1616,20,500,0
2048.8403976554782,0.1621,20,500,0
2051.7452880648957,0.1626,20,500,0
2054.651460813847,0.1631,20,500,0
2057.558912533972,0.1636,20,500,0
2060.4676398760294,0.1641,20,500,0
2063.377639509731,0.1646,20,500,0
2066.288908123577,0.1651,20,500,0
2069.201442424693,0.1656,20,500,0
2072.11523913867,0.1661,20,500,0
2075.030295009405,0.1666,20,500,0
2077.946606798944,0.1671,20,500,0
2080.8641712873273,0.1676,20,500,0
2083.7829852724353,0.1681,20,500,0
2086.703045569839,0.1686,20,500,0
2089.624349012646,0.1691,20,500,0
2092.5468924513566,0.1696,20,500,0
2095.470672753714,0.1701,20,500,0
2098.395686804563,0.1706,20,500,0
2101.3219315057027,0.1711,20,500,0
2104.249403775748,0.1716,20,500,0
2107.1781005499874,0.1721,20,500,0
2110.108018780247,0.1726,20,500,0
2113.039155434752,0.1731,20,500,0
2115.971507497991,0.1736,20,500,0
2118.9050719705824,0.1741,20,500,0
2121.8398458691436,0.1746,20,500,0
2124.7758262261586,0.1751,20,500,0
2127.7130100898476,0.1756,20,500,0
2130.6513945240417,0.1761,20,500,0
2133.5909766080536,0.1766,20,500,0
2136.531753436554,0.1771,20,500,0
2139.4737221194478,0.1776,20,500,0
2142.4168797817483,0.1781,20,500,0
2145.3612235634614,0.1786,20,500,0
2148.3067506194625,0.1791,20,500,0
2151.253458119376,0.1796,20,500,0
2154.2013432474623,0.1801,20,500,0
2157.1504032024995,0.1806,20,500,0
2160.100635197667,0.1811,20,500,0
2163.052036460436,0.1816,20,500,0
2166.004604232452,0.1821,20,500,0
2168.9583357694273,0.1826,20,500,0
2171.913228341031,0.1831,20,500,0
2174.8692792307756,0.1836,20,500,0
2177.8264857359163,0.1841,20,500,0
2180.7848451673385,0.1846,20,500,0
2183.7443548494543,0.1851,20,500,0
2186.7050121200996,0.1856,20,500,0
2189.6668143304278,0.1861,20,500,0
2192.6297588448097,0.1866,20,500,0
2195.593843040732,0.1871,20,500,0
2198.559064308696,0.1876,20,500,0
2201.5254200521213,0.1881,20,500,0
2204.492907687243,0.1886,20,500,0
2207.46152464302,0.1891,20,500,0
2210.4312683610333,0.1896,20,500,0
2213.4021362953963,0.1901,20,500,0
2216.3741259126577,0.1906,20,500,0
2219.347234691707,0.1911,20,500,0
2222.321460123686,0.1916,20,500,0
2225.296799711894,0.1921,20,500,0
2228.273250971698,0.1926,20,500,0
2231.250811430447,0.1931,20,500,0
2234.2294786273774,0.1936,20,500,0
2237.2092501135285,0.1941,20,500,0
2240.190123451656,0.1946,20,500,0
2243.1720962161457,0.1951,20,500,0
2246.1551659929264,0.1956,20,500,0
2249.1393303793875,0.1961,20,500,0
2252.124586984296,0.1966,20,500,0
2255.1109334277116,0.1971,20,500,0
2258.0983673409073,0.1976,20,500,0
2261.0868863662863,0.1981,20,500,0
2264.0764881573027,0.1986,20,500,0
2267.0671703783814,0.1991,20,500,0
2270.0589307048413,0.1996,20,500,0
2273.0517668228144,0.2001,20,500,0
2276.0456764291703,0.2006,20,500,0
2279.0406572314405,0.2011,20,500,0
2282.03670694774,0.2016,20,500,0
2285.0338233066955,0.2021,20,500,0
2288.0320040473684,0.2026,20,500,0
2291.0312469191826,0.2031,20,500,0
2294.0315496818525,0.2036,20,500,0
2297.0329101053067,0.2041,20,500,0
2300.035325969623,0.2046,20,500,0
2303.038795064951,0.2051,20,500,0
2306.0433151914476,0.2056,20,500,0
2309.048884159202,0.2061,20,500,0
2312.0554997881713,0.2066,20,500,0
2315.0631599081107,0.2071,20,500,0
2318.071862358504,0.2076,20,500,0
2321.081604988501,0.2081,20,500,0
2324.092385656846,0.2086,20,500,0
2327.1042022318175,0.2091,20,500,0
